# Simulation 1 (Up to date)
# 1236 data points written for 16 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.001,279.36,29.925,-12.663,24.839,1.442e-4,4.089,0.005,45,3.163e-4,9.805,0.637,3.423e-7,-5.365,0.003,0.09
5.011,279.658,29.798,-12.645,24.88,1.453e-4,4.089,0.029,45,3.168e-4,9.805,0.665,-3.802e-7,-3.598,0.003,0.09
5.021,279.956,29.672,-12.623,24.921,1.463e-4,4.089,0.037,45,3.174e-4,9.805,0.675,0,-1.799,0.003,0.089
5.031,280.252,29.546,-12.598,24.962,1.474e-4,4.09,0.029,45,3.179e-4,9.805,0.666,0,-0.013,0.001,0.089
5.041,280.547,29.42,-12.569,25.003,1.484e-4,4.09,0.005,45,3.184e-4,9.805,0.641,0,1.713,0.003,0.089
5.051,280.84,29.295,-12.536,25.044,1.494e-4,4.09,0.035,45,3.189e-4,9.805,0.595,3.538e-7,3.336,0.002,0.088
5.061,281.132,29.169,-12.489,25.085,1.503e-4,4.089,0.149,45,3.195e-4,9.805,0.466,0,4.713,0.002,0.088
5.071,281.424,29.045,-12.44,25.126,1.513e-4,4.087,0.268,45,3.2e-4,9.805,0.327,0,5.733,0.001,0.087
5.081,281.713,28.921,-12.392,25.167,1.522e-4,4.084,0.39,45,3.205e-4,9.805,0.181,0,6.378,0.003,0.087
5.091,282.002,28.797,-12.344,25.207,1.532e-4,4.079,0.512,45,3.21e-4,9.805,0.032,0,6.645,0.005,0.087
5.101,282.289,28.674,-12.298,25.248,1.541e-4,4.073,0.628,45,3.215e-4,9.805,0.113,8.625e-7,-6.533,-1.142e-4,0.086
5.111,282.575,28.551,-12.261,25.289,1.55e-4,4.067,0.701,45,3.221e-4,9.805,0.209,4.134e-7,-6.127,-0.001,0.086
5.121,282.86,28.428,-12.226,25.329,1.56e-4,4.059,0.768,45,3.226e-4,9.805,0.299,9.478e-7,-5.49,-0.002,0.086
5.131,283.144,28.306,-12.193,25.37,1.57e-4,4.051,0.828,45,3.231e-4,9.805,0.38,0,-4.653,-5.676e-4,0.085
5.141,283.426,28.185,-12.161,25.41,1.579e-4,4.043,0.879,45,3.236e-4,9.805,0.451,0,-3.641,-0.002,0.085
5.151,283.708,28.063,-12.132,25.451,1.589e-4,4.034,0.922,45,3.241e-4,9.805,0.513,3.023e-7,-2.478,-0.003,0.085
5.161,283.988,27.942,-12.097,25.491,1.599e-4,4.024,0.999,45,3.246e-4,9.805,0.615,3.703e-7,-1.127,-0.004,0.084
5.171,284.267,27.821,-12.064,25.531,1.609e-4,4.014,1.063,45,3.251e-4,9.805,0.701,0,0.434,-0.001,0.084
5.181,284.544,27.701,-12.035,25.571,1.62e-4,4.003,1.112,45,3.257e-4,9.805,0.771,3.338e-7,2.166,-0.001,0.084
5.191,284.821,27.581,-12.008,25.611,1.631e-4,3.992,1.147,45,3.262e-4,9.805,0.822,3.614e-7,4.023,-0.002,0.083
5.201,285.096,27.461,-11.984,25.651,1.642e-4,3.98,1.163,45,3.267e-4,9.805,0.852,0,5.958,-0.002,0.083
5.211,285.37,27.341,-11.971,25.691,1.654e-4,3.969,1.12,45,3.272e-4,9.805,0.808,0,7.855,-0.002,0.083
5.221,285.643,27.221,-11.961,25.731,1.666e-4,3.958,1.065,45,3.277e-4,9.805,0.746,0,9.613,-0.001,0.082
5.231,285.914,27.102,-11.953,25.77,1.678e-4,3.947,0.999,45,3.282e-4,9.805,0.67,-9.642e-7,11.2,-0.002,0.082
5.241,286.185,26.982,-11.946,25.81,1.69e-4,3.938,0.924,45,3.287e-4,9.805,0.58,-1.809e-6,12.582,-0.002,0.082
5.251,286.454,26.863,-11.942,25.849,1.703e-4,3.929,0.845,45,3.292e-4,9.805,0.481,-7.475e-7,13.739,1.214e-4,0.081
5.261,286.722,26.743,-11.933,25.888,1.715e-4,3.921,0.791,45,3.297e-4,9.805,0.411,0,14.702,-8.821e-4,0.081
5.271,286.989,26.624,-11.926,25.927,1.728e-4,3.913,0.732,45,3.302e-4,9.805,0.334,1.167e-6,15.493,-1.46e-4,0.081
5.281,287.254,26.505,-11.919,25.966,1.741e-4,3.906,0.671,45,3.307e-4,9.805,0.253,2.231e-6,16.102,5.339e-5,0.08
5.291,287.519,26.386,-11.913,26.005,1.754e-4,3.9,0.61,45,3.312e-4,9.805,0.167,1.835e-6,16.526,-8.452e-4,0.08
5.301,287.782,26.266,-11.909,26.044,1.767e-4,3.894,0.546,45,3.317e-4,9.805,0.076,0,16.761,8.003e-4,0.08
5.311,288.044,26.147,-11.916,26.083,1.78e-4,3.889,0.428,45,3.322e-4,9.805,0.091,-1.192e-6,-16.714,0.001,0.079
5.321,288.305,26.028,-11.923,26.122,1.792e-4,3.885,0.315,45,3.327e-4,9.805,0.255,-2.254e-6,-16.322,0.001,0.079
5.331,288.565,25.909,-11.93,26.161,1.805e-4,3.883,0.209,45,3.332e-4,9.805,0.41,-1.235e-6,-15.603,0.001,0.078
5.341,288.823,25.79,-11.936,26.2,1.818e-4,3.881,0.111,45,3.337e-4,9.805,0.555,-2.389e-6,-14.589,0.002,0.078
5.351,289.08,25.67,-11.94,26.239,1.83e-4,3.88,0.022,45,3.341e-4,9.805,0.688,6.737e-7,-13.307,-3.628e-4,0.078
5.361,289.337,25.551,-11.948,26.277,1.842e-4,3.881,0.084,45,3.346e-4,9.805,0.845,2.077e-6,-11.747,-5.971e-4,0.077
5.371,289.591,25.431,-11.954,26.316,1.855e-4,3.882,0.176,45,3.351e-4,9.805,0.984,1.637e-6,-9.914,-9.602e-4,0.077
5.381,289.845,25.312,-11.956,26.355,1.867e-4,3.884,0.253,45,3.356e-4,9.805,1.102,0,-7.853,1.879e-4,0.077
5.391,290.098,25.192,-11.953,26.394,1.879e-4,3.887,0.314,45,3.361e-4,9.805,1.198,3.108e-7,-5.611,6.756e-4,0.076
5.401,290.349,25.073,-11.945,26.433,1.891e-4,3.89,0.355,45,3.366e-4,9.805,1.264,3.613e-7,-3.234,5.192e-4,0.076
5.411,290.599,24.953,-11.919,26.472,1.902e-4,3.894,0.327,45,3.371e-4,9.805,1.23,0,-0.856,0.001,0.076
5.421,290.848,24.834,-11.889,26.511,1.914e-4,3.897,0.285,45,3.376e-4,9.805,1.172,0,1.414,-4.509e-4,0.075
5.431,291.096,24.715,-11.856,26.55,1.926e-4,3.9,0.231,45,3.381e-4,9.805,1.092,0,3.537,-2.614e-4,0.075
5.441,291.342,24.597,-11.819,26.589,1.937e-4,3.902,0.166,45,3.386e-4,9.805,0.994,0,5.475,5.075e-4,0.074
5.451,291.588,24.479,-11.78,26.628,1.949e-4,3.903,0.09,45,3.391e-4,9.805,0.876,8.17e-7,7.196,0.002,0.074
5.461,291.832,24.362,-11.733,26.667,1.96e-4,3.903,0.02,45,3.396e-4,9.805,0.7,1.092e-6,8.63,0.002,0.074
5.471,292.075,24.244,-11.685,26.706,1.971e-4,3.902,0.134,45,3.401e-4,9.805,0.513,6.432e-7,9.726,0.003,0.073
5.481,292.317,24.128,-11.639,26.745,1.982e-4,3.901,0.248,45,3.406e-4,9.805,0.319,2.028e-6,10.464,0.004,0.073
5.491,292.558,24.012,-11.593,26.784,1.994e-4,3.897,0.362,45,3.411e-4,9.805,0.122,-6.688e-7,10.848,0.008,0.073
5.501,292.797,23.896,-11.55,26.823,2.005e-4,3.893,0.47,45,3.416e-4,9.805,0.073,1.207e-6,-10.875,0.009,0.073
5.511,293.035,23.781,-11.515,26.862,2.016e-4,3.888,0.544,45,3.421e-4,9.805,0.212,1.833e-6,-10.614,0.002,0.072
5.521,293.273,23.666,-11.481,26.901,2.028e-4,3.882,0.615,45,3.426e-4,9.805,0.346,7.612e-7,-10.118,0.002,0.072
5.531,293.509,23.551,-11.449,26.939,2.039e-4,3.876,0.681,45,3.431e-4,9.805,0.472,1.788e-6,-9.403,2.471e-4,0.072
5.541,293.744,23.437,-11.419,26.978,2.051e-4,3.869,0.74,45,3.436e-4,9.805,0.588,1.326e-6,-8.49,1.863e-4,0.071
5.551,293.978,23.323,-11.391,27.017,2.063e-4,3.861,0.795,45,3.441e-4,9.805,0.697,3.925e-7,-7.404,0.002,0.071
5.561,294.21,23.209,-11.357,27.055,2.075e-4,3.853,0.879,45,3.445e-4,9.805,0.855,0,-6.102,5.437e-4,0.071
5.571,294.442,23.095,-11.326,27.094,2.086e-4,3.844,0.953,45,3.45e-4,9.805,0.997,0,-4.57,0.001,0.07
5.581,294.672,22.982,-11.297,27.132,2.099e-4,3.834,1.017,45,3.455e-4,9.805,1.122,3.441e-7,-2.835,-4.22e-4,0.07
5.591,294.901,22.87,-11.271,27.17,2.111e-4,3.823,1.069,45,3.46e-4,9.805,1.229,2.885e-7,-0.934,-2.646e-4,0.07
5.601,295.129,22.757,-11.247,27.209,2.123e-4,3.812,1.107,45,3.465e-4,9.805,1.311,0,1.103,6.781e-4,0.069
5.611,295.356,22.645,-11.232,27.247,2.135e-4,3.801,1.1,45,3.47e-4,9.805,1.316,4.888e-7,3.187,8.479e-4,0.069
5.621,295.582,22.532,-11.219,27.285,2.148e-4,3.79,1.082,45,3.475e-4,9.805,1.301,0,5.241,4.146e-4,0.069
5.631,295.807,22.42,-11.209,27.322,2.161e-4,3.78,1.053,45,3.479e-4,9.805,1.266,1.047e-6,7.236,8.103e-4,0.068
5.641,296.031,22.308,-11.2,27.36,2.173e-4,3.769,1.015,45,3.484e-4,9.805,1.213,9.028e-7,9.14,4.567e-4,0.068
5.651,296.253,22.196,-11.193,27.398,2.186e-4,3.759,0.97,45,3.489e-4,9.805,1.144,9.688e-7,10.929,-1.282e-4,0.068
5.661,296.475,22.084,-11.184,27.435,2.199e-4,3.75,0.934,45,3.494e-4,9.805,1.091,9.597e-7,12.605,-6.555e-4,0.067
5.671,296.695,21.972,-11.177,27.473,2.212e-4,3.741,0.892,45,3.499e-4,9.805,1.023,-1.361e-6,14.172,-0.001,0.067
5.681,296.914,21.861,-11.171,27.51,2.225e-4,3.732,0.844,45,3.503e-4,9.805,0.941,2.525e-6,15.607,-2.289e-5,0.067
5.691,297.132,21.749,-11.167,27.548,2.238e-4,3.724,0.791,45,3.508e-4,9.805,0.847,-1.364e-6,16.898,-0.002,0.066
5.701,297.349,21.637,-11.165,27.585,2.251e-4,3.716,0.732,45,3.513e-4,9.805,0.74,0,18.029,-7.561e-4,0.066
5.711,297.565,21.526,-11.17,27.622,2.264e-4,3.709,0.638,45,3.518e-4,9.805,0.559,1.281e-6,18.931,-9.64e-4,0.066
5.721,297.78,21.414,-11.177,27.659,2.277e-4,3.704,0.545,45,3.522e-4,9.805,0.372,1.445e-6,19.561,-0.002,0.065
5.731,297.993,21.302,-11.184,27.696,2.29e-4,3.699,0.453,45,3.527e-4,9.805,0.183,4.427e-7,19.914,-0.003,0.065
5.741,298.206,21.19,-11.191,27.733,2.303e-4,3.695,0.365,45,3.532e-4,9.805,0.005,-1.064e-6,-19.997,-0.109,0.065
5.751,298.417,21.078,-11.199,27.77,2.316e-4,3.691,0.281,45,3.536e-4,9.805,0.189,-8.081e-7,-19.819,-0.003,0.064
5.761,298.627,20.966,-11.201,27.807,2.329e-4,3.689,0.219,45,3.541e-4,9.805,0.328,-1.295e-6,-19.424,-0.001,0.064
5.771,298.836,20.854,-11.204,27.844,2.342e-4,3.687,0.16,45,3.546e-4,9.805,0.459,1.388e-6,-18.849,-0.001,0.064
5.781,299.044,20.742,-11.205,27.88,2.355e-4,3.686,0.107,45,3.551e-4,9.805,0.582,2.05e-6,-18.111,-0.001,0.063
5.791,299.251,20.63,-11.206,27.917,2.368e-4,3.685,0.059,45,3.555e-4,9.805,0.695,0,-17.227,4.427e-4,0.063
5.801,299.457,20.518,-11.205,27.954,2.381e-4,3.684,0.018,45,3.56e-4,9.805,0.793,-4.801e-7,-16.214,9.671e-4,0.063
5.811,299.662,20.406,-11.196,27.991,2.394e-4,3.684,0.005,45,3.565e-4,9.805,0.83,6.706e-7,-15.13,6.964e-4,0.062
5.821,299.865,20.294,-11.186,28.028,2.406e-4,3.684,0.003,45,3.569e-4,9.805,0.854,0,-14.021,0.001,0.062
5.831,300.067,20.182,-11.174,28.065,2.419e-4,3.684,0.005,45,3.574e-4,9.805,0.866,-8.051e-7,-12.902,8.544e-4,0.062
5.841,300.269,20.071,-11.16,28.102,2.432e-4,3.684,0.001,45,3.579e-4,9.805,0.866,-9.96e-7,-11.79,7.335e-4,0.061
5.851,300.469,19.959,-11.145,28.138,2.444e-4,3.684,0.008,45,3.583e-4,9.805,0.85,3.809e-7,-10.7,-1.875e-4,0.061
5.861,300.668,19.848,-11.122,28.175,2.457e-4,3.684,0.043,45,3.588e-4,9.805,0.774,-7.668e-7,-9.68,8.219e-4,0.061
5.871,300.866,19.737,-11.098,28.212,2.469e-4,3.683,0.081,45,3.593e-4,9.805,0.687,0,-8.772,6.493e-4,0.061
5.881,301.063,19.626,-11.073,28.249,2.482e-4,3.682,0.122,45,3.597e-4,9.805,0.591,-3.766e-7,-7.986,1.5e-4,0.06
5.891,301.258,19.515,-11.047,28.286,2.494e-4,3.681,0.165,45,3.602e-4,9.805,0.488,0,-7.327,2.127e-4,0.06
5.901,301.453,19.405,-11.022,28.322,2.507e-4,3.679,0.207,45,3.607e-4,9.805,0.383,0,-6.802,-7.891e-4,0.06
5.911,301.646,19.295,-11.007,28.359,2.52e-4,3.677,0.212,45,3.612e-4,9.805,0.367,-2.982e-7,-6.351,-3.868e-4,0.059
5.921,301.839,19.185,-10.992,28.396,2.532e-4,3.675,0.22,45,3.616e-4,9.805,0.346,-4.339e-7,-5.927,-7.341e-4,0.059
5.931,302.03,19.075,-10.976,28.433,2.545e-4,3.673,0.229,45,3.621e-4,9.805,0.32,-5.173e-7,-5.536,-2.671e-4,0.059
5.941,302.22,18.965,-10.959,28.469,2.557e-4,3.67,0.239,45,3.626e-4,9.805,0.29,0,-5.181,-7.289e-4,0.058
5.951,302.409,18.856,-10.943,28.506,2.57e-4,3.668,0.25,45,3.63e-4,9.805,0.256,-7.703e-7,-4.868,1.279e-4,0.058
5.961,302.597,18.747,-10.926,28.543,2.582e-4,3.665,0.262,45,3.635e-4,9.805,0.22,-6.762e-7,-4.597,-1.165e-4,0.058
5.971,302.784,18.637,-10.91,28.579,2.594e-4,3.663,0.274,45,3.64e-4,9.805,0.182,0,-4.369,-0.001,0.058
5.981,302.97,18.528,-10.893,28.616,2.607e-4,3.66,0.287,45,3.644e-4,9.805,0.141,-2.992e-7,-4.189,-6.158e-4,0.057
5.991,303.155,18.419,-10.876,28.653,2.619e-4,3.657,0.3,45,3.649e-4,9.805,0.098,0,-4.057,-0.002,0.057
6.001,303.339,18.311,-10.859,28.689,2.632e-4,3.654,0.313,45,3.654e-4,9.805,0.052,0,-3.974,-0.004,0.057
6.011,303.521,18.202,-10.841,28.726,2.644e-4,3.651,0.332,45,3.658e-4,9.805,0.008,0,3.949,-0.022,0.056
6.021,303.703,18.094,-10.823,28.762,2.657e-4,3.647,0.35,45,3.663e-4,9.805,0.069,0,3.987,-0.002,0.056
6.031,303.883,17.986,-10.805,28.799,2.669e-4,3.644,0.367,45,3.667e-4,9.805,0.13,0,4.089,-0.001,0.056
6.041,304.062,17.878,-10.787,28.835,2.682e-4,3.64,0.384,45,3.672e-4,9.805,0.189,0,4.252,-5.399e-4,0.055
6.051,304.241,17.77,-10.77,28.871,2.694e-4,3.636,0.4,45,3.677e-4,9.805,0.246,0,4.472,-8.849e-4,0.055
6.061,304.418,17.663,-10.755,28.908,2.706e-4,3.632,0.41,45,3.681e-4,9.805,0.285,0,4.738,7.67e-6,0.055
6.071,304.594,17.555,-10.74,28.944,2.719e-4,3.628,0.418,45,3.686e-4,9.805,0.321,-4.41e-7,5.04,-7.208e-6,0.054
6.081,304.769,17.448,-10.726,28.98,2.731e-4,3.624,0.425,45,3.691e-4,9.805,0.355,3.463e-7,5.37,0.001,0.054
6.091,304.943,17.341,-10.712,29.017,2.744e-4,3.619,0.431,45,3.695e-4,9.805,0.386,0,5.728,0.002,0.054
6.101,305.116,17.233,-10.698,29.053,2.756e-4,3.615,0.437,45,3.7e-4,9.805,0.417,-3.652e-7,6.11,0.002,0.054
6.111,305.287,17.127,-10.679,29.089,2.768e-4,3.61,0.463,45,3.704e-4,9.805,0.51,0,6.548,0.002,0.053
6.121,305.458,17.02,-10.66,29.125,2.78e-4,3.606,0.488,45,3.709e-4,9.805,0.598,0,7.066,0.003,0.053
6.131,305.628,16.913,-10.642,29.161,2.792e-4,3.601,0.51,45,3.714e-4,9.805,0.682,-8.166e-7,7.657,0.002,0.053
6.141,305.796,16.807,-10.624,29.197,2.804e-4,3.595,0.531,45,3.718e-4,9.805,0.761,-4.197e-7,8.315,0.003,0.052
6.151,305.964,16.701,-10.608,29.233,2.816e-4,3.59,0.548,45,3.723e-4,9.805,0.829,0,9.034,0.003,0.052
6.161,306.131,16.595,-10.599,29.269,2.828e-4,3.585,0.538,45,3.727e-4,9.805,0.815,-6.873e-7,9.765,0.003,0.052
6.171,306.296,16.489,-10.591,29.305,2.84e-4,3.579,0.527,45,3.732e-4,9.805,0.795,0,10.471,0.004,0.052
6.181,306.46,16.383,-10.583,29.34,2.852e-4,3.574,0.514,45,3.736e-4,9.805,0.769,0,11.147,0.004,0.051
6.191,306.624,16.277,-10.576,29.376,2.863e-4,3.569,0.501,45,3.741e-4,9.805,0.738,-1.207e-6,11.789,0.003,0.051
6.201,306.786,16.172,-10.569,29.412,2.875e-4,3.564,0.485,45,3.746e-4,9.805,0.699,7.23e-7,12.392,0.005,0.051
6.211,306.947,16.066,-10.569,29.447,2.886e-4,3.559,0.45,45,3.75e-4,9.805,0.593,0,12.924,0.005,0.05
6.221,307.107,15.96,-10.568,29.483,2.897e-4,3.555,0.415,45,3.755e-4,9.805,0.485,0,13.358,0.006,0.05
6.231,307.266,15.854,-10.568,29.518,2.908e-4,3.551,0.381,45,3.759e-4,9.805,0.373,-6.623e-7,13.694,0.007,0.05
6.241,307.424,15.749,-10.568,29.554,2.919e-4,3.547,0.348,45,3.764e-4,9.805,0.26,0,13.934,0.01,0.049
6.251,307.581,15.643,-10.567,29.589,2.93e-4,3.544,0.317,45,3.768e-4,9.805,0.155,-7.57e-7,14.078,0.018,0.049
6.261,307.737,15.538,-10.554,29.625,2.94e-4,3.541,0.326,45,3.773e-4,9.805,0.195,-1.318e-6,14.198,0.013,0.049
6.271,307.892,15.432,-10.541,29.66,2.951e-4,3.538,0.334,45,3.777e-4,9.805,0.236,1.364e-6,14.347,0.011,0.048
6.281,308.046,15.327,-10.528,29.696,2.961e-4,3.534,0.343,45,3.782e-4,9.805,0.277,-2.947e-7,14.525,0.009,0.048
6.291,308.198,15.221,-10.515,29.731,2.971e-4,3.531,0.351,45,3.786e-4,9.805,0.317,0,14.732,0.007,0.048
6.301,308.35,15.116,-10.503,29.766,2.981e-4,3.527,0.359,45,3.791e-4,9.805,0.356,0,14.966,0.006,0.048
6.311,308.501,15.011,-10.491,29.801,2.991e-4,3.524,0.363,45,3.795e-4,9.805,0.381,6.169e-7,15.219,0.005,0.047
6.321,308.65,14.907,-10.48,29.837,3.001e-4,3.52,0.366,45,3.8e-4,9.805,0.406,-7.023e-7,15.488,0.004,0.047
6.331,308.799,14.802,-10.469,29.872,3.011e-4,3.516,0.37,45,3.804e-4,9.805,0.429,7.349e-7,15.77,0.004,0.047
6.341,308.946,14.697,-10.458,29.907,3.021e-4,3.513,0.372,45,3.809e-4,9.805,0.452,0,16.063,0.003,0.047
6.351,309.093,14.593,-10.448,29.942,3.03e-4,3.509,0.374,45,3.813e-4,9.805,0.469,0,16.368,0.002,0.046
6.361,309.238,14.488,-10.444,29.977,3.04e-4,3.505,0.359,45,3.818e-4,9.805,0.417,-3.481e-7,16.653,0.002,0.046
6.371,309.383,14.384,-10.439,30.012,3.05e-4,3.502,0.344,45,3.822e-4,9.805,0.364,0,16.898,0.002,0.046
6.381,309.526,14.279,-10.435,30.047,3.059e-4,3.498,0.329,45,3.826e-4,9.805,0.311,-6.013e-7,17.101,0.002,0.045
6.391,309.668,14.175,-10.43,30.082,3.068e-4,3.495,0.315,45,3.831e-4,9.805,0.257,0,17.265,0.002,0.045
6.401,309.809,14.071,-10.426,30.117,3.078e-4,3.492,0.302,45,3.835e-4,9.805,0.205,4.945e-7,17.389,0.002,0.045
6.411,309.95,13.967,-10.421,30.152,3.087e-4,3.489,0.289,45,3.84e-4,9.805,0.157,1.012e-6,17.477,0.002,0.045
6.421,310.089,13.862,-10.416,30.187,3.096e-4,3.486,0.278,45,3.844e-4,9.805,0.11,3.775e-7,17.534,0.002,0.044
6.431,310.227,13.758,-10.411,30.222,3.106e-4,3.483,0.266,45,3.849e-4,9.805,0.065,7.846e-7,17.558,5.065e-5,0.044
6.441,310.364,13.654,-10.406,30.257,3.115e-4,3.481,0.256,45,3.853e-4,9.805,0.022,0,17.553,-0.005,0.044
6.451,310.5,13.55,-10.4,30.291,3.124e-4,3.478,0.246,45,3.858e-4,9.805,0.018,1.3e-6,-17.555,-0.017,0.043
6.461,310.635,13.446,-10.394,30.326,3.133e-4,3.476,0.24,45,3.862e-4,9.805,0.046,0,-17.491,-0.009,0.043
6.471,310.769,13.342,-10.388,30.361,3.142e-4,3.474,0.233,45,3.866e-4,9.805,0.07,0,-17.424,-0.008,0.043
6.481,310.902,13.238,-10.381,30.396,3.152e-4,3.471,0.228,45,3.871e-4,9.805,0.092,0,-17.343,-0.007,0.042
6.491,311.034,13.135,-10.374,30.43,3.161e-4,3.469,0.223,45,3.875e-4,9.805,0.111,4.66e-7,-17.25,-0.007,0.042
6.501,311.165,13.031,-10.367,30.465,3.17e-4,3.467,0.218,45,3.88e-4,9.805,0.128,0,-17.148,-0.006,0.042
6.511,311.294,12.927,-10.363,30.5,3.179e-4,3.465,0.207,45,3.884e-4,9.805,0.183,-4.046e-7,-17.026,-0.004,0.042
6.521,311.423,12.824,-10.359,30.534,3.188e-4,3.463,0.196,45,3.889e-4,9.805,0.234,0,-16.876,-0.004,0.041
6.531,311.551,12.72,-10.354,30.569,3.197e-4,3.461,0.187,45,3.893e-4,9.805,0.282,-8.869e-7,-16.7,-0.003,0.041
6.541,311.677,12.617,-10.35,30.604,3.206e-4,3.459,0.178,45,3.897e-4,9.805,0.325,0,-16.501,-0.003,0.041
6.551,311.803,12.513,-10.344,30.638,3.215e-4,3.457,0.171,45,3.902e-4,9.805,0.36,-4.915e-7,-16.283,-0.002,0.04
6.561,311.928,12.41,-10.332,30.673,3.225e-4,3.455,0.18,45,3.906e-4,9.805,0.302,0,-16.076,-0.003,0.04
6.571,312.051,12.306,-10.32,30.707,3.234e-4,3.454,0.19,45,3.911e-4,9.805,0.239,0,-15.904,-0.003,0.04
6.581,312.174,12.203,-10.307,30.742,3.243e-4,3.452,0.2,45,3.915e-4,9.805,0.173,0,-15.768,-0.004,0.04
6.591,312.295,12.1,-10.295,30.776,3.252e-4,3.45,0.21,45,3.919e-4,9.805,0.103,0,-15.67,-0.006,0.039
6.601,312.416,11.997,-10.282,30.811,3.261e-4,3.447,0.219,45,3.924e-4,9.805,0.036,0,-15.61,-0.013,0.039
6.611,312.535,11.895,-10.278,30.845,3.27e-4,3.445,0.209,45,3.928e-4,9.805,0.086,2.978e-7,-15.553,-0.005,0.039
6.621,312.654,11.792,-10.274,30.88,3.279e-4,3.443,0.2,45,3.932e-4,9.805,0.133,0,-15.472,-0.002,0.039
6.631,312.771,11.689,-10.269,30.914,3.288e-4,3.441,0.191,45,3.937e-4,9.805,0.178,-3.016e-7,-15.371,-0.001,0.038
6.641,312.888,11.587,-10.265,30.948,3.297e-4,3.439,0.183,45,3.941e-4,9.805,0.219,0,-15.25,-3.527e-4,0.038
6.651,313.003,11.484,-10.26,30.983,3.306e-4,3.438,0.176,45,3.946e-4,9.805,0.253,0,-15.111,4.685e-4,0.038
6.661,313.117,11.381,-10.25,31.017,3.315e-4,3.436,0.181,45,3.95e-4,9.805,0.213,-4.864e-7,-14.978,0.002,0.037
6.671,313.231,11.279,-10.24,31.052,3.324e-4,3.434,0.186,45,3.954e-4,9.805,0.169,0,-14.867,0.002,0.037
6.681,313.343,11.177,-10.23,31.086,3.333e-4,3.432,0.191,45,3.959e-4,9.805,0.122,0,-14.776,0.004,0.037
6.691,313.454,11.074,-10.22,31.12,3.342e-4,3.43,0.196,45,3.963e-4,9.805,0.072,-3.761e-7,-14.71,0.009,0.037
6.701,313.564,10.972,-10.21,31.154,3.35e-4,3.428,0.202,45,3.968e-4,9.805,0.017,0,-14.667,0.046,0.036
6.711,313.673,10.87,-10.2,31.189,3.359e-4,3.426,0.21,45,3.972e-4,9.805,0.052,0,14.652,0.019,0.036
6.721,313.782,10.768,-10.189,31.223,3.368e-4,3.424,0.217,45,3.976e-4,9.805,0.124,0,14.667,0.009,0.036
6.731,313.889,10.666,-10.178,31.257,3.377e-4,3.422,0.225,45,3.981e-4,9.805,0.198,-4.308e-7,14.712,0.006,0.035
6.741,313.995,10.565,-10.167,31.291,3.385e-4,3.42,0.233,45,3.985e-4,9.805,0.275,0,14.788,0.004,0.035
6.751,314.1,10.463,-10.156,31.326,3.394e-4,3.417,0.241,45,3.989e-4,9.805,0.359,-4.564e-7,14.894,0.004,0.035
6.761,314.204,10.361,-10.14,31.36,3.402e-4,3.415,0.262,45,3.994e-4,9.805,0.54,-7.674e-7,15.052,0.002,0.035
6.771,314.307,10.26,-10.123,31.394,3.411e-4,3.412,0.282,45,3.998e-4,9.805,0.721,0,15.279,0.002,0.034
6.781,314.409,10.159,-10.107,31.428,3.419e-4,3.409,0.302,45,4.002e-4,9.805,0.904,0,15.573,0.002,0.034
6.791,314.511,10.058,-10.09,31.462,3.428e-4,3.406,0.322,45,4.007e-4,9.805,1.086,0,15.931,0.002,0.034
6.801,314.611,9.957,-10.075,31.496,3.436e-4,3.403,0.341,45,4.011e-4,9.805,1.262,0,16.352,0.002,0.034
6.811,314.71,9.857,-10.065,31.53,3.445e-4,3.399,0.345,45,4.015e-4,9.805,1.332,0,16.809,0.002,0.034
6.821,314.808,9.756,-10.056,31.564,3.453e-4,3.396,0.349,45,4.02e-4,9.805,1.401,0,17.283,0.002,0.033
6.831,314.905,9.655,-10.048,31.598,3.461e-4,3.392,0.353,45,4.024e-4,9.805,1.469,5.091e-7,17.771,0.002,0.033
6.841,315.001,9.555,-10.039,31.632,3.47e-4,3.389,0.356,45,4.028e-4,9.805,1.535,-4.427e-7,18.272,0.002,0.033
6.851,315.096,9.455,-10.031,31.666,3.478e-4,3.385,0.359,45,4.033e-4,9.805,1.594,0,18.786,0.002,0.032
6.861,315.19,9.354,-10.028,31.7,3.486e-4,3.381,0.351,45,4.037e-4,9.805,1.572,-3.399e-7,19.294,0.002,0.032
6.871,315.283,9.254,-10.024,31.733,3.494e-4,3.378,0.343,45,4.041e-4,9.805,1.547,0,19.783,0.002,0.032
6.881,315.375,9.154,-10.021,31.767,3.502e-4,3.375,0.335,45,4.046e-4,9.805,1.522,3.679e-7,20.252,0.002,0.032
6.891,315.466,9.054,-10.018,31.801,3.51e-4,3.371,0.327,45,4.05e-4,9.805,1.495,-4.654e-7,20.701,0.002,0.031
6.901,315.556,8.953,-10.015,31.835,3.518e-4,3.368,0.319,45,4.054e-4,9.805,1.464,0,21.131,0.003,0.031
